ROI_ID,ROI_Name,Mean_ROI_Signal,Sum_ROI_Signal,Abs_Mean_ROI_Signal
31,Right Amygdala,-3.992513822770446e-05,-0.014932001697161468,3.992513822770446e-05
48,Left Hippocampus,-3.815112968816729e-05,-0.051847385246219346,3.815112968816729e-05
32,Left Amygdala,-3.592922083529023e-05,-0.013473457813233836,3.592922083529023e-05
116,Right Ent entorhinal area,-2.1244112160586467e-05,-0.014148578698950587,2.1244112160586467e-05
117,Left Ent entorhinal area,-1.9878395142651088e-05,-0.013696214253286598,1.9878395142651088e-05
47,Right Hippocampus,-1.9026378377757177e-05,-0.027721433296392206,1.9026378377757177e-05
171,Left PHG parahippocampal gyrus,-1.675968674291766e-05,-0.01996078691081493,1.675968674291766e-05
173,Left PIns posterior insula,1.2553107915681692e-05,0.011912899411981925,1.2553107915681692e-05
200,Right STG superior temporal gyrus,-8.995955776153434e-06,-0.02805838606582256,8.995955776153434e-06
172,Right PIns posterior insula,8.702365769586788e-06,0.008484806625347119,8.702365769586788e-06
207,Left TTG transverse temporal gyrus,6.813327322911041e-06,0.004605809270287864,6.813327322911041e-06
154,Right MTG middle temporal gyrus,-6.280858802991436e-06,-0.04078161620782339,6.280858802991436e-06
187,Left SCA subcallosal area,5.405851416657688e-06,0.002600214531412348,5.405851416657688e-06
151,Left MPrG precentral gyrus medial segment,5.167209841537834e-06,0.006443510672397679,5.167209841537834e-06
153,Left MSFG superior frontal gyrus medial segment,5.133256442997318e-06,0.01538950281610596,5.133256442997318e-06
181,Left PP planum polare,5.045382039938779e-06,0.00450552616166533,5.045382039938779e-06
175,Left PO parietal operculum,4.899533395423915e-06,0.005296395600453252,4.899533395423915e-06
132,Right ITG inferior temporal gyrus,-4.862710483690883e-06,-0.024255199892650126,4.862710483690883e-06
139,Left MCgG middle cingulate gyrus,4.671707132379218e-06,0.009950736191967735,4.671707132379218e-06
167,Left PCgG posterior cingulate gyrus,-4.583988917761914e-06,-0.008604147198639112,4.583988917761914e-06
180,Right PP planum polare,4.420758557952239e-06,0.003461453950876603,4.420758557952239e-06
105,Left AOrG anterior orbital gyrus,4.2825490460687066e-06,0.0028992857041885145,4.2825490460687066e-06
170,Right PHG parahippocampal gyrus,-4.257517013980379e-06,-0.004576830790028907,4.257517013980379e-06
142,Right MFG middle frontal gyrus,-4.042264061864159e-06,-0.037633478415955324,4.042264061864159e-06
107,Left AnG angular gyrus,-3.996812649847639e-06,-0.016490848993271356,3.996812649847639e-06
113,Left CO central operculum,3.959775174383659e-06,0.006886049028253183,3.959775174383659e-06
193,Left SMC supplementary motor cortex,3.912229591362943e-06,0.009440210003958782,3.912229591362943e-06
