ROI_ID,ROI_Name,Mean_ROI_Signal,Sum_ROI_Signal,Abs_Mean_ROI_Signal
32,Left Amygdala,-6.06523505897106e-05,-0.022744631471141474,6.06523505897106e-05
31,Right Amygdala,-5.964434759446699e-05,-0.022306986000330653,5.964434759446699e-05
48,Left Hippocampus,-3.5885772315217e-05,-0.04876876457637991,3.5885772315217e-05
116,Right Ent entorhinal area,-2.9548848224485675e-05,-0.01967953291750746,2.9548848224485675e-05
47,Right Hippocampus,-2.3812416371894687e-05,-0.03469469065385056,2.3812416371894687e-05
117,Left Ent entorhinal area,-2.370556951924572e-05,-0.0163331373987603,2.370556951924572e-05
100,Right ACgG anterior cingulate gyrus,2.22325459392604e-05,0.03957393177188351,2.22325459392604e-05
171,Left PHG parahippocampal gyrus,-1.595191803538846e-05,-0.018998734380147653,1.595191803538846e-05
178,Right POrG posterior orbital gyrus,1.11967870617802e-05,0.011252770997089101,1.11967870617802e-05
200,Right STG superior temporal gyrus,-7.558030119397489e-06,-0.02357349594240077,7.558030119397489e-06
151,Left MPrG precentral gyrus medial segment,6.607061507280785e-06,0.008239005699579138,6.607061507280785e-06
109,Left Calc calcarine cortex,6.2372766710965534e-06,0.010066964547149837,6.2372766710965534e-06
139,Left MCgG middle cingulate gyrus,6.1715566076993055e-06,0.013145415574399522,6.1715566076993055e-06
170,Right PHG parahippocampal gyrus,-6.073395438021222e-06,-0.006528900095872814,6.073395438021222e-06
55,Right Pallidum,-5.720344485412847e-06,-0.003226274289772846,5.720344485412847e-06
150,Right MPrG precentral gyrus medial segment,5.655396892487264e-06,0.006684679126919946,5.655396892487264e-06
153,Left MSFG superior frontal gyrus medial segment,5.639253626173713e-06,0.016906482371268794,5.639253626173713e-06
113,Left CO central operculum,5.6123641699512635e-06,0.009759901291545248,5.6123641699512635e-06
138,Right MCgG middle cingulate gyrus,5.424375270505541e-06,0.01116878868197091,5.424375270505541e-06
193,Left SMC supplementary motor cortex,5.38946588927883e-06,0.013004781190829817,5.38946588927883e-06
155,Left MTG middle temporal gyrus,-4.891961187567473e-06,-0.03136725513468264,4.891961187567473e-06
133,Left ITG inferior temporal gyrus,-4.114104124501562e-06,-0.020253734604921192,4.114104124501562e-06
166,Right PCgG posterior cingulate gyrus,-3.949649010006326e-06,-0.006509021568490425,3.949649010006326e-06
136,Right LOrG lateral orbital gyrus,-3.862947532332523e-06,-0.003310546035208972,3.862947532332523e-06
146,Right MOrG medial orbital gyrus,3.3441273664719916e-06,0.005955890839686617,3.3441273664719916e-06
132,Right ITG inferior temporal gyrus,-3.291172878049335e-06,-0.016416370315710083,3.291172878049335e-06
187,Left SCA subcallosal area,3.233287026807995e-06,0.0015552110598946456,3.233287026807995e-06
57,Right Putamen,3.1983754159738978e-06,0.005338088569260435,3.1983754159738978e-06
202,Right TMP temporal pole,-3.0830479170865414e-06,-0.011028062399418559,3.0830479170865414e-06
175,Left PO parietal operculum,2.9479545090630976e-06,0.0031867388242972083,2.9479545090630976e-06
163,Left OpIFG opercular part of the inferior frontal gyrus,2.928354943392308e-06,0.0041494789547869,2.928354943392308e-06
119,Left FO frontal operculum,2.8520280679178574e-06,0.0024356319700018503,2.8520280679178574e-06
128,Right IOG inferior occipital gyrus,-2.694952722842994e-06,-0.00706616603929433,2.694952722842994e-06
167,Left PCgG posterior cingulate gyrus,-2.6858055087245035e-06,-0.005041256939875893,2.6858055087245035e-06
148,Right MPoG postcentral gyrus medial segment,2.681501486315541e-06,0.0008366284637304489,2.681501486315541e-06
112,Right CO central operculum,2.6284246440355277e-06,0.004662825318519026,2.6284246440355277e-06
186,Right SCA subcallosal area,2.460218970507825e-06,0.0011932062006962951,2.460218970507825e-06
105,Left AOrG anterior orbital gyrus,2.3331789583489823e-06,0.001579562154802261,2.3331789583489823e-06
107,Left AnG angular gyrus,-2.2381720464314113e-06,-0.009234697863576002,2.2381720464314113e-06
115,Left Cun cuneus,2.1285662990190033e-06,0.0043295038522046525,2.1285662990190033e-06
125,Left GRe gyrus rectus,2.1096060386515176e-06,0.0022150863405840937,2.1096060386515176e-06
145,Left MOG middle occipital gyrus,-2.04582457466693e-06,-0.005439847544039367,2.04582457466693e-06
135,Left LiG lingual gyrus,1.9459666151984295e-06,0.006230985101865372,1.9459666151984295e-06
120,Right FRP frontal pole,1.9078788129126706e-06,0.0030430667065957095,1.9078788129126706e-06
154,Right MTG middle temporal gyrus,-1.801391747583208e-06,-0.01169643661705777,1.801391747583208e-06
197,Left SOG superior occipital gyrus,1.7571373041454765e-06,0.002537306267186068,1.7571373041454765e-06
142,Right MFG middle frontal gyrus,-1.6814690010208751e-06,-0.015654476399504347,1.6814690010208751e-06
149,Left MPoG postcentral gyrus medial segment,-1.6430373297554708e-06,-0.000617782035988057,1.6430373297554708e-06
101,Left ACgG anterior cingulate gyrus,1.625303390562406e-06,0.0036097988304391038,1.625303390562406e-06
76,Right Basal Forebrain,1.592144801750453e-06,0.00021812383783981204,1.592144801750453e-06
195,Left SMG supramarginal gyrus,-1.4829374318429805e-06,-0.00594064735196298,1.4829374318429805e-06
137,Left LOrG lateral orbital gyrus,1.4114550821012027e-06,0.0012067940951965284,1.4114550821012027e-06
191,Left SFG superior frontal gyrus,-1.4067079246693222e-06,-0.00960781512549147,1.4067079246693222e-06
172,Right PIns posterior insula,1.401169619594629e-06,0.0013661403791047633,1.401169619594629e-06
156,Right OCP occipital pole,-1.3941761295460716e-06,-0.0018361299626121763,1.3941761295460716e-06
152,Right MSFG superior frontal gyrus medial segment,1.3912125825770618e-06,0.004945760731061455,1.3912125825770618e-06
207,Left TTG transverse temporal gyrus,1.3664794150073793e-06,0.0009237400845449883,1.3664794150073793e-06
123,Left FuG fusiform gyrus,-1.290068955440089e-06,-0.0040495264511264395,1.290068955440089e-06
104,Right AOrG anterior orbital gyrus,-1.28425154729014e-06,-0.0009734626728459261,1.28425154729014e-06
174,Right PO parietal operculum,1.2189757323078714e-06,0.0011677787515509408,1.2189757323078714e-06
194,Right SMG supramarginal gyrus,-1.215934369042202e-06,-0.00462176653672941,1.215934369042202e-06
199,Left SPL superior parietal lobule,1.1804812532375036e-06,0.0061680145481659565,1.1804812532375036e-06
118,Right FO frontal operculum,1.1378176897023504e-06,0.0009728341246955097,1.1378176897023504e-06
168,Right PCu precuneus,-1.1312819493411448e-06,-0.0057355994831596036,1.1312819493411448e-06
121,Left FRP frontal pole,1.1174510996607853e-06,0.0015677838928240817,1.1174510996607853e-06
177,Left PoG postcentral gyrus,1.1082395517387091e-06,0.006013307807734236,1.1082395517387091e-06
143,Left MFG middle frontal gyrus,-1.0668798268307e-06,-0.010001998376537813,1.0668798268307e-06
140,Right MFC medial frontal cortex,1.0439427478559082e-06,0.0008351541982847266,1.0439427478559082e-06
144,Right MOG middle occipital gyrus,-1.0245239536743611e-06,-0.002318497707165079,1.0245239536743611e-06
