ROI_ID,ROI_Name,Mean_ROI_Signal,Sum_ROI_Signal
31,Right Amygdala,4.747815075782402e-05,0.017756828383426182
116,Right Ent entorhinal area,1.968219877600351e-05,0.013108344384818338
32,Left Amygdala,1.7698941907534996e-05,0.006637103215325624
48,Left Hippocampus,1.0459269876884826e-05,0.01421414776268648
47,Right Hippocampus,9.522912941931242e-06,0.013874884156393819
117,Left Ent entorhinal area,8.442634090200656e-06,0.005816974888148252
171,Left PHG parahippocampal gyrus,7.675183317684636e-06,0.0091411433313624
56,Left Pallidum,4.087933150185889e-06,0.0022851546309539117
151,Left MPrG precentral gyrus medial segment,3.9879357800841385e-06,0.004972955917764921
187,Left SCA subcallosal area,3.474454639678949e-06,0.0016712126816855744
100,Right ACgG anterior cingulate gyrus,2.9996714310778115e-06,0.005339415147318505
193,Left SMC supplementary motor cortex,2.8554254341119853e-06,0.006890141572512221
170,Right PHG parahippocampal gyrus,2.6518750196691e-06,0.002850765646144282
186,Right SCA subcallosal area,2.3216728484690114e-06,0.0011260113315074705
35,Brain Stem,1.8627860867577067e-06,0.01289793086471036
164,Right OrIFG orbital part of the inferior frontal gyrus,1.4210348083925177e-06,0.0008469367458019406
105,Left AOrG anterior orbital gyrus,1.3428154967049827e-06,0.0009090860912692733
198,Right SPL superior parietal lobule,1.3225862125302424e-06,0.006942255029571243
168,Right PCu precuneus,1.1470874812117828e-06,0.0058157335297437385
153,Left MSFG superior frontal gyrus medial segment,1.1057051303989072e-06,0.0033149039809359238
160,Right OFuG occipital fusiform gyrus,1.0310660639477551e-06,0.0015672204172005877
113,Left CO central operculum,9.795539478743005e-07,0.0017034443153534085
143,Left MFG middle frontal gyrus,9.717334946617484e-07,0.009110001512453891
167,Left PCgG posterior cingulate gyrus,9.500284026576366e-07,0.0017832033117883839
139,Left MCgG middle cingulate gyrus,8.58679885195542e-07,0.0018289881554665044
156,Right OCP occipital pole,8.329590472701057e-07,0.0010970070652547292
60,Left Thalamus Proper,8.242994990873956e-07,0.0025940705236280337
207,Left TTG transverse temporal gyrus,8.127692406280682e-07,0.0005494320066645741
161,Left OFuG occipital fusiform gyrus,7.755848627526097e-07,0.0012680812506005168
155,Left MTG middle temporal gyrus,7.407553316049245e-07,0.004749723186250776
59,Right Thalamus Proper,7.376517383319429e-07,0.002205578697612509
121,Left FRP frontal pole,7.240649875975662e-07,0.0010158631775993854
196,Right SOG superior occipital gyrus,6.599793810062437e-07,0.0011285647415206768
112,Right CO central operculum,6.583480037362425e-07,0.0011679093586280942
202,Right TMP temporal pole,6.570938475956469e-07,0.0023504246928496286
181,Left PP planum polare,5.787759805504912e-07,0.0005168469506315887
146,Right MOrG medial orbital gyrus,5.611475519634624e-07,0.0009994037900469266
203,Left TMP temporal pole,5.482088904951066e-07,0.0019472379790386185
145,Left MOG middle occipital gyrus,5.4456433837329e-07,0.001447996575734578
195,Left SMG supramarginal gyrus,5.405287988203997e-07,0.0021653583680745214
199,Left SPL superior parietal lobule,5.166472072833392e-07,0.002699481658055447
