ROI_ID,ROI_Name,Mean_ROI_Signal,Sum_ROI_Signal,Abs_Mean_ROI_Signal
32,Left Amygdala,-5.001368872278059e-05,-0.018755133271042723,5.001368872278059e-05
31,Right Amygdala,-4.0129891077379006e-05,-0.015008579262939747,4.0129891077379006e-05
117,Left Ent entorhinal area,-3.242692934634388e-05,-0.022342154319630936,3.242692934634388e-05
48,Left Hippocampus,-2.486800768164571e-05,-0.03379562243935652,2.486800768164571e-05
116,Right Ent entorhinal area,-2.3183623464841343e-05,-0.015440293227584334,2.3183623464841343e-05
47,Right Hippocampus,-1.4222516217566234e-05,-0.020722206128994003,1.4222516217566234e-05
171,Left PHG parahippocampal gyrus,-1.3229810653243051e-05,-0.015756704488012474,1.3229810653243051e-05
100,Right ACgG anterior cingulate gyrus,1.12335748617829e-05,0.019995763253973564,1.12335748617829e-05
178,Right POrG posterior orbital gyrus,9.788603796125552e-06,0.00983754681510618,9.788603796125552e-06
200,Right STG superior temporal gyrus,-7.681489910712943e-06,-0.023958567031513667,7.681489910712943e-06
203,Left TMP temporal pole,-7.419241342176974e-06,-0.026353145247412613,7.419241342176974e-06
166,Right PCgG posterior cingulate gyrus,-7.335798630450775e-06,-0.012089396142982878,7.335798630450775e-06
195,Left SMG supramarginal gyrus,-6.921043337171484e-06,-0.027725699608708965,6.921043337171484e-06
167,Left PCgG posterior cingulate gyrus,-6.441083945592342e-06,-0.012089914565876825,6.441083945592342e-06
113,Left CO central operculum,6.071649172431412e-06,0.010558597910858225,6.071649172431412e-06
197,Left SOG superior occipital gyrus,6.035534404525359e-06,0.008715311680134619,6.035534404525359e-06
175,Left PO parietal operculum,5.7854798137437325e-06,0.006254103678656975,5.7854798137437325e-06
153,Left MSFG superior frontal gyrus medial segment,5.536968694567082e-06,0.01659983214631211,5.536968694567082e-06
55,Right Pallidum,-5.218856098998919e-06,-0.0029434348398353904,5.218856098998919e-06
139,Left MCgG middle cingulate gyrus,5.061165773295557e-06,0.010780283097119536,5.061165773295557e-06
118,Right FO frontal operculum,4.906698220446216e-06,0.004195226978481514,4.906698220446216e-06
164,Right OrIFG orbital part of the inferior frontal gyrus,4.899234892530898e-06,0.0029199439959484152,4.899234892530898e-06
193,Left SMC supplementary motor cortex,4.844745325029376e-06,0.011690370469295885,4.844745325029376e-06
187,Left SCA subcallosal area,4.782219854676747e-06,0.0023002477500995155,4.782219854676747e-06
109,Left Calc calcarine cortex,4.75654587435393e-06,0.007677065041207243,4.75654587435393e-06
35,Brain Stem,4.5659042482359435e-06,0.03161432101478567,4.5659042482359435e-06
155,Left MTG middle temporal gyrus,-4.340653368017887e-06,-0.02783226939573069,4.340653368017887e-06
170,Right PHG parahippocampal gyrus,-4.173301655777492e-06,-0.004486299279960804,4.173301655777492e-06
105,Left AOrG anterior orbital gyrus,3.971480417094212e-06,0.002688692242372781,3.971480417094212e-06
143,Left MFG middle frontal gyrus,-3.819208562684556e-06,-0.03580508027516771,3.819208562684556e-06
138,Right MCgG middle cingulate gyrus,3.387358035391193e-06,0.006974570194870466,3.387358035391193e-06
151,Left MPrG precentral gyrus medial segment,3.3429010565644363e-06,0.004168597617535852,3.3429010565644363e-06
207,Left TTG transverse temporal gyrus,3.090863314215452e-06,0.0020894236004096456,3.090863314215452e-06
169,Left PCu precuneus,-2.832299957244827e-06,-0.014254965684813214,2.832299957244827e-06
156,Right OCP occipital pole,-2.7809607728616736e-06,-0.003662525337858824,2.7809607728616736e-06
