ROI_ID,ROI_Name,Mean_ROI_Signal,Sum_ROI_Signal
32,Left Amygdala,5.0013689149636775e-05,0.01875513343111379
31,Right Amygdala,4.01298908925619e-05,0.01500857919381815
117,Left Ent entorhinal area,3.2426929504746444e-05,0.0223421544287703
48,Left Hippocampus,2.4868007732507813e-05,0.03379562250847812
116,Right Ent entorhinal area,2.3183623300968423e-05,0.01544029311844497
47,Right Hippocampus,1.4289813881641537e-05,0.02082025882555172
171,Left PHG parahippocampal gyrus,1.3879421647129999e-05,0.01653039118173183
100,Right ACgG anterior cingulate gyrus,1.1233574847476243e-05,0.019995763228507712
178,Right POrG posterior orbital gyrus,9.788603897482175e-06,0.009837546916969586
55,Right Pallidum,8.4515397879873e-06,0.004766668440424837
195,Left SMG supramarginal gyrus,7.773404496268467e-06,0.03114025841205148
200,Right STG superior temporal gyrus,7.681489904880979e-06,0.023958567013323773
203,Left TMP temporal pole,7.652921431349773e-06,0.027183176924154395
166,Right PCgG posterior cingulate gyrus,7.3357986216207296e-06,0.012089396128430963
167,Left PCgG posterior cingulate gyrus,6.881494648034769e-06,0.012916565454361262
118,Right FO frontal operculum,6.377471036315836e-06,0.0054527377360500395
197,Left SOG superior occipital gyrus,6.303794857696952e-06,0.0091026797745144
113,Left CO central operculum,6.193904220097784e-06,0.010771199438750045
162,Right OpIFG opercular part of the inferior frontal gyrus,5.987110349974812e-06,0.008741181110963225
175,Left PO parietal operculum,5.785479844032178e-06,0.006254103711398784
153,Left MSFG superior frontal gyrus medial segment,5.775081731987591e-06,0.0173136950324988
109,Left Calc calcarine cortex,5.421181354507841e-06,0.008749786706175655
35,Brain Stem,5.247784090862039e-06,0.036335657045128755
193,Left SMC supplementary motor cortex,5.173106830151925e-06,0.012482706781156594
139,Left MCgG middle cingulate gyrus,5.107619995748659e-06,0.010879230590944644
164,Right OrIFG orbital part of the inferior frontal gyrus,4.89923490473888e-06,0.002919944003224373
155,Left MTG middle temporal gyrus,4.800718378966136e-06,0.030782206245930865
187,Left SCA subcallosal area,4.782219877366844e-06,0.002300247761013452
170,Right PHG parahippocampal gyrus,4.1733015847099984e-06,0.004486299203563249
143,Left MFG middle frontal gyrus,4.149361323410024e-06,0.03890026240696898
120,Right FRP frontal pole,4.062742826187265e-06,0.006480074807768688
105,Left AOrG anterior orbital gyrus,3.97148039022583e-06,0.002688692224182887
154,Right MTG middle temporal gyrus,3.8407326455743104e-06,0.024937877067713998
138,Right MCgG middle cingulate gyrus,3.3873580548267284e-06,0.006974570234888233
151,Left MPrG precentral gyrus medial segment,3.342901030307973e-06,0.004168597584794043
145,Left MOG middle occipital gyrus,3.2324720863065494e-06,0.008595143277489115
207,Left TTG transverse temporal gyrus,3.09086329268895e-06,0.0020894235858577304
132,Right ITG inferior temporal gyrus,3.0491954206526184e-06,0.01520938675821526
169,Left PCu precuneus,2.9920936695317346e-06,0.01505920743875322
198,Right SPL superior parietal lobule,2.9560062455058284e-06,0.015516076782660093
201,Left STG superior temporal gyrus,2.9554279598934127e-06,0.008751022189244395
56,Left Pallidum,2.904897155856617e-06,0.001623837510123849
133,Left ITG inferior temporal gyrus,2.8992177849952733e-06,0.01427284915553173
128,Right IOG inferior occipital gyrus,2.891575851013531e-06,0.007581711881357478
156,Right OCP occipital pole,2.864231422778478e-06,0.0037721927837992553
160,Right OFuG occipital fusiform gyrus,2.809991120126429e-06,0.0042711865025921725
204,Right TrIFG triangular part of the inferior frontal gyrus,2.7807805310605064e-06,0.0038958735240157694
146,Right MOrG medial orbital gyrus,2.6354808704812522e-06,0.00469379143032711
196,Right SOG superior occipital gyrus,2.6339531641443976e-06,0.0045040599106869195
165,Left OrIFG orbital part of the inferior frontal gyrus,2.631952756898044e-06,0.0015712757958681323
177,Left PoG postcentral gyrus,2.55896856993019e-06,0.013884963460441213
142,Right MFG middle frontal gyrus,2.528548897185891e-06,0.023540790232800646
183,Left PrG precentral gyrus,2.520807637000121e-06,0.015152574706007726
199,Left SPL superior parietal lobule,2.516648649548862e-06,0.013149489193892805
60,Left Thalamus Proper,2.457626457596529e-06,0.007734150462056277
186,Right SCA subcallosal area,2.454671502886244e-06,0.0011905156788998283
172,Right PIns posterior insula,2.4381086628776615e-06,0.00237715594630572
152,Right MSFG superior frontal gyrus medial segment,2.419992726877117e-06,0.00860307414404815
107,Left AnG angular gyrus,2.4094799090806242e-06,0.009941514104866656
161,Left OFuG occipital fusiform gyrus,2.3696370131267797e-06,0.003874356516462285
135,Left LiG lingual gyrus,2.344987326050625e-06,0.007508649418014102
194,Right SMG supramarginal gyrus,2.312385971301182e-06,0.008789379076915793
206,Right TTG transverse temporal gyrus,2.2977269269942647e-06,0.0014843315948382951
182,Right PrG precentral gyrus,2.2545824071842523e-06,0.013500439454219304
104,Right AOrG anterior orbital gyrus,2.2370755845388414e-06,0.0016957032930804417
58,Left Putamen,2.2025965688301983e-06,0.003810492064076243
205,Left TrIFG triangular part of the inferior frontal gyrus,2.1323575953169925e-06,0.0031942716777848545
190,Right SFG superior frontal gyrus,2.0782270250371834e-06,0.014258715618780116
157,Left OCP occipital pole,2.06661007800758e-06,0.0029717852921749
144,Right MOG middle occipital gyrus,1.9831800295200103e-06,0.004487936406803783
191,Left SFG superior frontal gyrus,1.972454880549345e-06,0.013471866834152024
119,Left FO frontal operculum,1.9432439562723923e-06,0.001659530338656623
112,Right CO central operculum,1.8437949866506618e-06,0.0032708923063182738
163,Left OpIFG opercular part of the inferior frontal gyrus,1.8025510743554174e-06,0.0025542148723616265
108,Right Calc calcarine cortex,1.788428910840694e-06,0.0025967987785406876
141,Left MFC medial frontal cortex,1.7547820204243088e-06,0.0013775038860330824
181,Left PP planum polare,1.7488523538488777e-06,0.0015617251519870479
134,Right LiG lingual gyrus,1.6731675393381248e-06,0.0057289256546937395
192,Right SMC supplementary motor cortex,1.6538796353298565e-06,0.003848577911412576
59,Right Thalamus Proper,1.617928560837608e-06,0.004837606396904448
173,Left PIns posterior insula,1.5879708643535544e-06,0.001506984350271523
