ROI_ID,ROI_Name,Mean_ROI_Signal,Sum_ROI_Signal
31,Right Amygdala,6.107966674561488e-05,0.022843795362859964
116,Right Ent entorhinal area,4.484629440062795e-05,0.029867632070818217
32,Left Amygdala,4.3551985125911114e-05,0.016331994422216667
117,Left Ent entorhinal area,3.111218582341685e-05,0.021436296032334212
48,Left Hippocampus,2.669566953946227e-05,0.036279414904129226
47,Right Hippocampus,2.2970377532591884e-05,0.033467840064986376
100,Right ACgG anterior cingulate gyrus,1.5253748710308449e-05,0.02715167270434904
171,Left PHG parahippocampal gyrus,1.5206374551417262e-05,0.01811079209073796
139,Left MCgG middle cingulate gyrus,8.995801719310562e-06,0.019161057662131498
170,Right PHG parahippocampal gyrus,8.745835941734312e-06,0.009401773637364386
151,Left MPrG precentral gyrus medial segment,8.081726039569929e-06,0.0100779123713437
187,Left SCA subcallosal area,7.097997069513724e-06,0.003414136590436101
56,Left Pallidum,7.053829266394827e-06,0.003943090559914708
193,Left SMC supplementary motor cortex,6.583364298742788e-06,0.015885658052866347
186,Right SCA subcallosal area,6.2625623351927926e-06,0.0030373427325685043
164,Right OrIFG orbital part of the inferior frontal gyrus,6.2211618252155595e-06,0.0037078124478284735
105,Left AOrG anterior orbital gyrus,5.423826701962148e-06,0.0036719306772283744
153,Left MSFG superior frontal gyrus medial segment,4.984846120516026e-06,0.014944568669307046
143,Left MFG middle frontal gyrus,4.758289692302545e-06,0.04460896586533636
166,Right PCgG posterior cingulate gyrus,4.736643369292368e-06,0.007805988272593822
207,Left TTG transverse temporal gyrus,4.583964422119563e-06,0.003098759949352825
200,Right STG superior temporal gyrus,4.500759119958757e-06,0.014037867695151363
156,Right OCP occipital pole,4.45328456634389e-06,0.005864975773874903
155,Left MTG middle temporal gyrus,4.3504997834726874e-06,0.027895404611626873
168,Right PCu precuneus,4.2263450295273105e-06,0.021427569299703464
167,Left PCgG posterior cingulate gyrus,4.22249997905334e-06,0.007925632460683119
112,Right CO central operculum,4.167172093151884e-06,0.007392563293251442
35,Brain Stem,3.983671926883004e-06,0.02758294442173792
142,Right MFG middle frontal gyrus,3.8653941243018145e-06,0.035986819297249895
160,Right OFuG occipital fusiform gyrus,3.7882477499806557e-06,0.005758136579970596
161,Left OFuG occipital fusiform gyrus,3.781732415996879e-06,0.006183132500154898
60,Left Thalamus Proper,3.6162932154037853e-06,0.011380474748875713
183,Left PrG precentral gyrus,3.5821182241254613e-06,0.02153211264521815
178,Right POrG posterior orbital gyrus,3.551006632357771e-06,0.0035687616655195598
146,Right MOrG medial orbital gyrus,3.534670618369523e-06,0.00629524837131612
202,Right TMP temporal pole,3.5160768050292956e-06,0.01257700673158979
203,Left TMP temporal pole,3.4978749153123245e-06,0.012424451699189376
198,Right SPL superior parietal lobule,3.340699212004135e-06,0.017535330163809704
55,Right Pallidum,3.293707493815657e-06,0.0018576510265120305
196,Right SOG superior occipital gyrus,3.1174858436342437e-06,0.005330900792614557
169,Left PCu precuneus,3.1107350816499528e-06,0.015656329665944213
195,Left SMG supramarginal gyrus,3.028501036935937e-06,0.012132175153965363
113,Left CO central operculum,3.004851391122721e-06,0.005225436569162412
107,Left AnG angular gyrus,2.981984105436129e-06,0.012303666419029469
120,Right FRP frontal pole,2.893257708628852e-06,0.0046147460452630185
125,Left GRe gyrus rectus,2.8881137785945266e-06,0.003032519467524253
192,Right SMC supplementary motor cortex,2.746778317263088e-06,0.006391753144271206
201,Left STG superior temporal gyrus,2.635673198965968e-06,0.007804228342138231
199,Left SPL superior parietal lobule,2.629210665302895e-06,0.013737625726207625
109,Left Calc calcarine cortex,2.6107675524042165e-06,0.004213778829580406
144,Right MOG middle occipital gyrus,2.5949853430125556e-06,0.005872451831237413
181,Left PP planum polare,2.5925074529238064e-06,0.0023151091554609593
76,Right Basal Forebrain,2.5834443164907776e-06,0.00035393187135923654
157,Left OCP occipital pole,2.501295450697582e-06,0.0035968628581031226
190,Right SFG superior frontal gyrus,2.4936957253384e-06,0.01710924637154676
141,Left MFC medial frontal cortex,2.3575183404550243e-06,0.001850651897257194
129,Left IOG inferior occipital gyrus,2.35460998541313e-06,0.0064728228499006946
173,Left PIns posterior insula,2.3163011984789726e-06,0.002198169837356545
59,Right Thalamus Proper,2.2825114558942236e-06,0.0068247092531237286
179,Left POrG posterior orbital gyrus,2.202831323828307e-06,0.0024297229501826223
145,Left MOG middle occipital gyrus,2.1821712768920697e-06,0.005802393425256014
162,Right OpIFG opercular part of the inferior frontal gyrus,2.1332119839116037e-06,0.0031144894965109415
118,Right FO frontal operculum,2.1278332401140543e-06,0.0018192974202975165
191,Left SFG superior frontal gyrus,2.093006666840223e-06,0.014295235534518724
176,Right PoG postcentral gyrus,2.0340313665402185e-06,0.00967385317926528
177,Left PoG postcentral gyrus,1.9957528353014884e-06,0.010828954884345876
204,Right TrIFG triangular part of the inferior frontal gyrus,1.8774383136092536e-06,0.0026302910773665644
138,Right MCgG middle cingulate gyrus,1.8432163935469716e-06,0.0037951825543132145
75,Left Basal Forebrain,1.834140022655624e-06,0.00027328686337568797
154,Right MTG middle temporal gyrus,1.7926891621547335e-06,0.011639930729870684
133,Left ITG inferior temporal gyrus,1.780112928924838e-06,0.008763495949096978
152,Right MSFG superior frontal gyrus medial segment,1.7537035150505844e-06,0.006234415996004827
121,Left FRP frontal pole,1.6832526336594652e-06,0.0023616034450242296
106,Right AnG angular gyrus,1.6654766850229097e-06,0.007877704720158363
197,Left SOG superior occipital gyrus,1.6432913980679587e-06,0.0023729127788101323
103,Left AIns anterior insula,1.6061176741512379e-06,0.0029199219316069502
114,Right Cun cuneus,1.5884270326820954e-06,0.0033039282279787585
58,Left Putamen,1.5820129528894719e-06,0.0027368824084987864
132,Right ITG inferior temporal gyrus,1.5763976937033866e-06,0.007863071696192492
194,Right SMG supramarginal gyrus,1.5345299496013186e-06,0.005832748338434612
175,Left PO parietal operculum,1.5263454176330032e-06,0.0016499793964612763
