ROI_ID,ROI_Name,Total_Voxels,Mean_ROI_Signal,Sum_ROI_Signal,Active_Voxels,Sum_Active_Signal
156,Right OCP occipital pole,1317,0.0,0.0,1317,0.0
160,Right OFuG occipital fusiform gyrus,1520,0.0,0.0,1520,0.0
157,Left OCP occipital pole,1438,0.0,0.0,1438,0.0
165,Left OrIFG orbital part of the inferior frontal gyrus,597,0.0,0.0,597,0.0
164,Right OrIFG orbital part of the inferior frontal gyrus,596,0.0,0.0,596,0.0
163,Left OpIFG opercular part of the inferior frontal gyrus,1417,0.0,0.0,1417,0.0
162,Right OpIFG opercular part of the inferior frontal gyrus,1460,0.0,0.0,1460,0.0
144,Right MOG middle occipital gyrus,2263,0.0,0.0,2263,0.0
145,Left MOG middle occipital gyrus,2659,0.0,0.0,2659,0.0
142,Right MFG middle frontal gyrus,9310,0.0,0.0,9310,0.0
143,Left MFG middle frontal gyrus,9375,0.0,0.0,9375,0.0
172,Right PIns posterior insula,975,0.0,0.0,975,0.0
169,Left PCu precuneus,5033,0.0,0.0,5033,0.0
168,Right PCu precuneus,5070,0.0,0.0,5070,0.0
161,Left OFuG occipital fusiform gyrus,1635,0.0,0.0,1635,0.0
174,Right PO parietal operculum,958,0.0,0.0,958,0.0
175,Left PO parietal operculum,1081,0.0,0.0,1081,0.0
176,Right PoG postcentral gyrus,4756,0.0,0.0,4756,0.0
177,Left PoG postcentral gyrus,5426,0.0,0.0,5426,0.0
182,Right PrG precentral gyrus,5988,0.0,0.0,5988,0.0
183,Left PrG precentral gyrus,6011,0.0,0.0,6011,0.0
184,Right PT planum temporale,794,0.0,0.0,794,0.0
185,Left PT planum temporale,895,0.0,0.0,895,0.0
178,Right POrG posterior orbital gyrus,1005,0.0,0.0,1005,0.0
179,Left POrG posterior orbital gyrus,1103,0.0,0.0,1103,0.0
180,Right PP planum polare,783,0.0,0.0,783,0.0
181,Left PP planum polare,893,0.0,0.0,893,0.0
191,Left SFG superior frontal gyrus,6830,0.0,0.0,6830,0.0
190,Right SFG superior frontal gyrus,6861,0.0,0.0,6861,0.0
187,Left SCA subcallosal area,481,0.0,0.0,481,0.0
186,Right SCA subcallosal area,485,0.0,0.0,485,0.0
192,Right SMC supplementary motor cortex,2327,0.0,0.0,2327,0.0
193,Left SMC supplementary motor cortex,2413,0.0,0.0,2413,0.0
194,Right SMG supramarginal gyrus,3801,0.0,0.0,3801,0.0
195,Left SMG supramarginal gyrus,4006,0.0,0.0,4006,0.0
199,Left SPL superior parietal lobule,5225,0.0,0.0,5225,0.0
198,Right SPL superior parietal lobule,5249,0.0,0.0,5249,0.0
197,Left SOG superior occipital gyrus,1444,0.0,0.0,1444,0.0
196,Right SOG superior occipital gyrus,1710,0.0,0.0,1710,0.0
204,Right TrIFG triangular part of the inferior frontal gyrus,1401,0.0,0.0,1401,0.0
205,Left TrIFG triangular part of the inferior frontal gyrus,1498,0.0,0.0,1498,0.0
206,Right TTG transverse temporal gyrus,646,0.0,0.0,646,0.0
207,Left TTG transverse temporal gyrus,676,0.0,0.0,676,0.0
