ROI_ID,ROI_Name,Mean_ROI_Signal,Sum_ROI_Signal,Abs_Mean_ROI_Signal
31,Right Amygdala,-3.992513797479684e-05,-0.014932001602574019,3.992513797479684e-05
48,Left Hippocampus,-3.8151129623920424e-05,-0.051847385158907855,3.8151129623920424e-05
32,Left Amygdala,-3.5929220990510655e-05,-0.013473457871441497,3.5929220990510655e-05
116,Right Ent entorhinal area,-2.1244112034950563e-05,-0.014148578615277074,2.1244112034950563e-05
117,Left Ent entorhinal area,-1.9878395158491342e-05,-0.013696214264200535,1.9878395158491342e-05
47,Right Hippocampus,-1.9026378347794413e-05,-0.02772143325273646,1.9026378347794413e-05
171,Left PHG parahippocampal gyrus,-1.675968682539073e-05,-0.01996078700904036,1.675968682539073e-05
173,Left PIns posterior insula,1.2553107816011039e-05,0.011912899317394476,1.2553107816011039e-05
200,Right STG superior temporal gyrus,-8.995955813478e-06,-0.028058386182237882,8.995955813478e-06
172,Right PIns posterior insula,8.702365732274185e-06,0.00848480658896733,8.702365732274185e-06
207,Left TTG transverse temporal gyrus,6.813327290621289e-06,0.004605809248459991,6.813327290621289e-06
154,Right MTG middle temporal gyrus,-6.2808587945870486e-06,-0.04078161615325371,6.2808587945870486e-06
187,Left SCA subcallosal area,5.405851454474516e-06,0.002600214549602242,5.405851454474516e-06
151,Left MPrG precentral gyrus medial segment,5.167209885298605e-06,0.006443510726967361,5.167209885298605e-06
153,Left MSFG superior frontal gyrus medial segment,5.133256430862632e-06,0.015389502779726172,5.133256430862632e-06
181,Left PP planum polare,5.045382027717125e-06,0.004505526150751393,5.045382027717125e-06
175,Left PO parietal operculum,4.899533351673938e-06,0.0052963955531595275,4.899533351673938e-06
132,Right ITG inferior temporal gyrus,-4.862710455246382e-06,-0.024255199750768952,4.862710455246382e-06
139,Left MCgG middle cingulate gyrus,4.671707139211104e-06,0.00995073620651965,4.671707139211104e-06
167,Left PCgG posterior cingulate gyrus,-4.58398897784574e-06,-0.008604147311416455,4.58398897784574e-06
180,Right PP planum polare,4.420758590475676e-06,0.0034614539763424546,4.420758590475676e-06
105,Left AOrG anterior orbital gyrus,4.282548986958268e-06,0.0028992856641707476,4.282548986958268e-06
170,Right PHG parahippocampal gyrus,-4.257516983522882e-06,-0.004576830757287098,4.257516983522882e-06
142,Right MFG middle frontal gyrus,-4.042264065771763e-06,-0.03763347845233511,4.042264065771763e-06
107,Left AnG angular gyrus,-3.996812627804626e-06,-0.016490848902321886,3.996812627804626e-06
113,Left CO central operculum,3.9597751555557065e-06,0.0068860489955113735,3.9597751555557065e-06
193,Left SMC supplementary motor cortex,3.912229610962498e-06,0.009440210051252507,3.912229610962498e-06
155,Left MTG middle temporal gyrus,-3.7775562928994396e-06,-0.024221690950071206,3.7775562928994396e-06
100,Right ACgG anterior cingulate gyrus,3.6451368778420802e-06,0.0064883436425589025,3.6451368778420802e-06
202,Right TMP temporal pole,-3.584485553790963e-06,-0.012821704825910274,3.584485553790963e-06
156,Right OCP occipital pole,-3.500820404113445e-06,-0.004610580472217407,3.500820404113445e-06
195,Left SMG supramarginal gyrus,-3.3047332281815896e-06,-0.013238761312095448,3.3047332281815896e-06
