ROI_ID,ROI_Name,Mean_ROI_Signal,Sum_ROI_Signal,Abs_Mean_ROI_Signal
48,Left Hippocampus,-1.9162875348996752e-05,-0.026042347599286586,1.9162875348996752e-05
31,Right Amygdala,-1.4774154062086547e-05,-0.0055255336192203686,1.4774154062086547e-05
32,Left Amygdala,-9.253469295799732e-06,-0.0034700509859248996,9.253469295799732e-06
171,Left PHG parahippocampal gyrus,-8.750223288997558e-06,-0.01042151593719609,8.750223288997558e-06
47,Right Hippocampus,-8.367752198030176e-06,-0.012191814952529967,8.367752198030176e-06
117,Left Ent entorhinal area,-5.056657599868505e-06,-0.0034840370863093995,5.056657599868505e-06
200,Right STG superior temporal gyrus,-3.97582166505283e-06,-0.012400587773299776,3.97582166505283e-06
173,Left PIns posterior insula,2.7002951287781255e-06,0.0025625800772104412,2.7002951287781255e-06
207,Left TTG transverse temporal gyrus,2.64568445033369e-06,0.0017884826884255745,2.64568445033369e-06
187,Left SCA subcallosal area,2.526245792706162e-06,0.001215124226291664,2.526245792706162e-06
116,Right Ent entorhinal area,-2.437093244552998e-06,-0.0016231041008722968,2.437093244552998e-06
175,Left PO parietal operculum,2.3127144901404996e-06,0.00250004436384188,2.3127144901404996e-06
153,Left MSFG superior frontal gyrus medial segment,1.8514003047814036e-06,0.005550498113734648,1.8514003047814036e-06
151,Left MPrG precentral gyrus medial segment,1.8313626858458795e-06,0.0022837092692498118,1.8313626858458795e-06
154,Right MTG middle temporal gyrus,-1.6263671830811734e-06,-0.01056000211974606,1.6263671830811734e-06
35,Brain Stem,1.5596051410198775e-06,0.010798705996421631,1.5596051410198775e-06
195,Left SMG supramarginal gyrus,-1.38408790270266e-06,-0.0055446561382268555,1.38408790270266e-06
132,Right ITG inferior temporal gyrus,-1.3715741655543042e-06,-0.006841411937784869,1.3715741655543042e-06
107,Left AnG angular gyrus,-1.230443198414645e-06,-0.005076808636658825,1.230443198414645e-06
155,Left MTG middle temporal gyrus,-1.1622070891092574e-06,-0.007452071855368558,1.1622070891092574e-06
109,Left Calc calcarine cortex,1.059690387906562e-06,0.0017103402860811912,1.059690387906562e-06
193,Left SMC supplementary motor cortex,9.642061911775374e-07,0.002326629539311398,9.642061911775374e-07
164,Right OrIFG orbital part of the inferior frontal gyrus,9.51694572288168e-07,0.0005672099650837481,9.51694572288168e-07
167,Left PCgG posterior cingulate gyrus,-8.961719620926231e-07,-0.0016821147728478536,8.961719620926231e-07
156,Right OCP occipital pole,-8.734451548883023e-07,-0.001150327268987894,8.734451548883023e-07
59,Right Thalamus Proper,-8.412354246535678e-07,-0.0025152939197141677,8.412354246535678e-07
142,Right MFG middle frontal gyrus,-7.806989676246537e-07,-0.0072683073885855265,7.806989676246537e-07
170,Right PHG parahippocampal gyrus,-7.686403452765284e-07,-0.0008262883711722679,7.686403452765284e-07
