2026-07-12 20:06:37.453 | INFO     | XAI_SVM.py:reconstruct_and_save_3d:154 - Reconstructing 3D tensor to save at: C:\Users\utente\Desktop\Computing Methods\CMEPDA_project_2024\Python\SVM_Pipeline\Results\SVM_Haufe_Fold_4_Top5.nii
2026-07-12 20:06:37.500 | SUCCESS  | XAI_SVM.py:reconstruct_and_save_3d:174 - 3D XAI Map cleanly exported to disk.
2026-07-12 20:06:37.500 | INFO     | XAI_SVM.py:reconstruct_and_save_3d:154 - Reconstructing 3D tensor to save at: C:\Users\utente\Desktop\Computing Methods\CMEPDA_project_2024\Python\SVM_Pipeline\Results\SVM_Gaonkar_Fold_4_bonf005.nii
2026-07-12 20:06:37.557 | SUCCESS  | XAI_SVM.py:reconstruct_and_save_3d:174 - 3D XAI Map cleanly exported to disk.
2026-07-12 20:06:37.560 | INFO     | XAI_SVM.py:reconstruct_and_save_3d:154 - Reconstructing 3D tensor to save at: C:\Users\utente\Desktop\Computing Methods\CMEPDA_project_2024\Python\SVM_Pipeline\Results\SVM_Gaonkar_Fold_4_fdr01.nii
2026-07-12 20:06:37.600 | SUCCESS  | XAI_SVM.py:reconstruct_and_save_3d:174 - 3D XAI Map cleanly exported to disk.
2026-07-12 20:06:37.810 | DEBUG    | model_renderer.py:plot_3d_activation_map:245 - Rendering Raw Weights (Fold 4) Top 1% | Z-Axis Computed Slices: 54
2026-07-12 20:06:45.452 | DEBUG    | model_renderer.py:plot_3d_activation_map:245 - Rendering Raw Weights (Fold 4) Top 5% | Z-Axis Computed Slices: 54
2026-07-12 20:06:50.597 | DEBUG    | model_renderer.py:plot_3d_activation_map:245 - Rendering Haufe Pattern (Fold 4) Top 1% | Z-Axis Computed Slices: 42
2026-07-12 20:06:56.066 | DEBUG    | model_renderer.py:plot_3d_activation_map:245 - Rendering Haufe Pattern (Fold 4) Top 5% | Z-Axis Computed Slices: 51
2026-07-12 20:07:02.224 | DEBUG    | model_renderer.py:plot_3d_activation_map:245 - Rendering Gaonkar Z-Score (Fold 4) Bonf 0.05 | Z-Axis Computed Slices: 17
2026-07-12 20:07:04.122 | DEBUG    | model_renderer.py:plot_3d_activation_map:245 - Rendering Gaonkar Z-Score (Fold 4) FDR 0.1 | Z-Axis Computed Slices: 51
2026-07-12 20:07:08.806 | INFO     | run_svm_pipeline.py:run_svm_pipeline:190 - Processing XAI for Fold 5 (C=0.0001)...
2026-07-12 20:08:48.545 | INFO     | XAI_SVM.py:compute_haufe_patterns:38 - Computing Haufe Forward Transform (Covariance mapping)...
2026-07-12 20:08:51.804 | SUCCESS  | XAI_SVM.py:compute_haufe_patterns:47 - Haufe patterns successfully extracted.
2026-07-12 20:08:52.032 | INFO     | XAI_SVM.py:compute_gaonkar_maps:70 - Computing Gaonkar Analytic Significance Maps for HDLSS regime...
2026-07-12 20:08:52.047 | DEBUG    | XAI_SVM.py:compute_gaonkar_maps:76 - Gaonkar Sample-to-Feature Ratio (m/d): 0.0004
2026-07-12 20:08:52.047 | WARNING  | XAI_SVM.py:compute_gaonkar_maps:83 - HDLSS Violation: Support Vectors are only 86.5% of samples (Requires >= 95.0%).
2026-07-12 20:08:57.972 | INFO     | XAI_SVM.py:compute_gaonkar_maps:130 - Applying BONFERRONI multiple comparisons correction at alpha=0.05...
2026-07-12 20:08:58.106 | INFO     | XAI_SVM.py:compute_gaonkar_maps:134 - Gaonkar Correction (BONFERRONI): 334/627444 voxels passed significance.
2026-07-12 20:08:58.287 | INFO     | XAI_SVM.py:compute_gaonkar_maps:70 - Computing Gaonkar Analytic Significance Maps for HDLSS regime...
2026-07-12 20:08:58.303 | DEBUG    | XAI_SVM.py:compute_gaonkar_maps:76 - Gaonkar Sample-to-Feature Ratio (m/d): 0.0004
2026-07-12 20:08:58.303 | WARNING  | XAI_SVM.py:compute_gaonkar_maps:83 - HDLSS Violation: Support Vectors are only 86.5% of samples (Requires >= 95.0%).
2026-07-12 20:09:04.213 | INFO     | XAI_SVM.py:compute_gaonkar_maps:130 - Applying FDR_BY multiple comparisons correction at alpha=0.1...
2026-07-12 20:09:04.624 | INFO     | XAI_SVM.py:compute_gaonkar_maps:134 - Gaonkar Correction (FDR_BY): 1855/627444 voxels passed significance.
2026-07-12 20:09:05.161 | INFO     | XAI_SVM.py:reconstruct_and_save_3d:154 - Reconstructing 3D tensor to save at: C:\Users\utente\Desktop\Computing Methods\CMEPDA_project_2024\Python\SVM_Pipeline\Results\SVM_Raw_Weights_Fold_5_Top1.nii
2026-07-12 20:09:09.244 | SUCCESS  | XAI_SVM.py:reconstruct_and_save_3d:174 - 3D XAI Map cleanly exported to disk.
2026-07-12 20:09:09.304 | INFO     | XAI_SVM.py:reconstruct_and_save_3d:154 - Reconstructing 3D tensor to save at: C:\Users\utente\Desktop\Computing Methods\CMEPDA_project_2024\Python\SVM_Pipeline\Results\SVM_Raw_Weights_Fold_5_Top5.nii
2026-07-12 20:09:09.553 | SUCCESS  | XAI_SVM.py:reconstruct_and_save_3d:174 - 3D XAI Map cleanly exported to disk.
2026-07-12 20:09:09.568 | INFO     | XAI_SVM.py:reconstruct_and_save_3d:154 - Reconstructing 3D tensor to save at: C:\Users\utente\Desktop\Computing Methods\CMEPDA_project_2024\Python\SVM_Pipeline\Results\SVM_Haufe_Fold_5_Top1.nii
2026-07-12 20:09:10.019 | SUCCESS  | XAI_SVM.py:reconstruct_and_save_3d:174 - 3D XAI Map cleanly exported to disk.
2026-07-12 20:09:10.053 | INFO     | XAI_SVM.py:reconstruct_and_save_3d:154 - Reconstructing 3D tensor to save at: C:\Users\utente\Desktop\Computing Methods\CMEPDA_project_2024\Python\SVM_Pipeline\Results\SVM_Haufe_Fold_5_Top5.nii
2026-07-12 20:09:10.857 | SUCCESS  | XAI_SVM.py:reconstruct_and_save_3d:174 - 3D XAI Map cleanly exported to disk.
2026-07-12 20:09:11.150 | INFO     | XAI_SVM.py:reconstruct_and_save_3d:154 - Reconstructing 3D tensor to save at: C:\Users\utente\Desktop\Computing Methods\CMEPDA_project_2024\Python\SVM_Pipeline\Results\SVM_Gaonkar_Fold_5_bonf005.nii
2026-07-12 20:09:11.302 | SUCCESS  | XAI_SVM.py:reconstruct_and_save_3d:174 - 3D XAI Map cleanly exported to disk.
2026-07-12 20:09:11.349 | INFO     | XAI_SVM.py:reconstruct_and_save_3d:154 - Reconstructing 3D tensor to save at: C:\Users\utente\Desktop\Computing Methods\CMEPDA_project_2024\Python\SVM_Pipeline\Results\SVM_Gaonkar_Fold_5_fdr01.nii
2026-07-12 20:09:11.769 | SUCCESS  | XAI_SVM.py:reconstruct_and_save_3d:174 - 3D XAI Map cleanly exported to disk.
2026-07-12 20:09:19.605 | DEBUG    | model_renderer.py:plot_3d_activation_map:245 - Rendering Raw Weights (Fold 5) Top 1% | Z-Axis Computed Slices: 54
2026-07-12 20:09:31.931 | DEBUG    | model_renderer.py:plot_3d_activation_map:245 - Rendering Raw Weights (Fold 5) Top 5% | Z-Axis Computed Slices: 54
2026-07-12 20:09:37.274 | DEBUG    | model_renderer.py:plot_3d_activation_map:245 - Rendering Haufe Pattern (Fold 5) Top 1% | Z-Axis Computed Slices: 36
2026-07-12 20:09:41.110 | DEBUG    | model_renderer.py:plot_3d_activation_map:245 - Rendering Haufe Pattern (Fold 5) Top 5% | Z-Axis Computed Slices: 50
2026-07-12 20:09:46.320 | DEBUG    | model_renderer.py:plot_3d_activation_map:245 - Rendering Gaonkar Z-Score (Fold 5) Bonf 0.05 | Z-Axis Computed Slices: 24
2026-07-12 20:09:48.963 | DEBUG    | model_renderer.py:plot_3d_activation_map:245 - Rendering Gaonkar Z-Score (Fold 5) FDR 0.1 | Z-Axis Computed Slices: 49
2026-07-12 20:09:54.146 | SUCCESS  | run_svm_pipeline.py:run_svm_pipeline:279 - --- SVM EXECUTION COMPLETE ---
